日期,收盘,regime
2002-05-15,1300.119,SIDEWAYS
2002-05-16,1261.522,SIDEWAYS
2002-05-17,1277.235,SIDEWAYS
2002-05-20,1258.829,SIDEWAYS
2002-05-21,1298.878,SIDEWAYS
2002-05-22,1280.16,SIDEWAYS
2002-05-23,1284.836,SIDEWAYS
2002-05-24,1265.966,SIDEWAYS
2002-05-27,1270.336,SIDEWAYS
2002-05-28,1270.382,SIDEWAYS
2002-05-29,1246.019,SIDEWAYS
2002-05-30,1245.886,SIDEWAYS
2002-05-31,1238.577,SIDEWAYS
2002-06-03,1213.388,SIDEWAYS
2002-06-04,1219.523,SIDEWAYS
2002-06-05,1196.623,SIDEWAYS
2002-06-06,1245.613,SIDEWAYS
2002-06-07,1252.514,SIDEWAYS
2002-06-10,1243.743,SIDEWAYS
2002-06-11,1252.851,SIDEWAYS
2002-06-12,1246.843,SIDEWAYS
2002-06-13,1235.572,SIDEWAYS
2002-06-14,1222.119,SIDEWAYS
2002-06-17,1224.654,SIDEWAYS
2002-06-18,1248.837,SIDEWAYS
2002-06-19,1236.049,SIDEWAYS
2002-06-20,1245.081,SIDEWAYS
2002-06-21,1288.522,SIDEWAYS
2002-06-24,1409.505,SIDEWAYS
2002-06-25,1409.226,SIDEWAYS
2002-06-26,1417.307,SIDEWAYS
2002-06-27,1422.512,SIDEWAYS
2002-06-28,1431.175,SIDEWAYS
2002-07-01,1415.33,SIDEWAYS
2002-07-02,1425.814,SIDEWAYS
2002-07-03,1427.39,SIDEWAYS
2002-07-04,1412.617,SIDEWAYS
2002-07-05,1415.403,SIDEWAYS
2002-07-08,1423.696,SIDEWAYS
2002-07-09,1419.471,SIDEWAYS
2002-07-10,1392.901,SIDEWAYS
2002-07-11,1390.929,BULL
2002-07-12,1389.45,BULL
2002-07-15,1379.38,BULL
2002-07-16,1382.412,BULL
2002-07-17,1393.022,BULL
2002-07-18,1397.411,BULL
2002-07-19,1403.253,BULL
2002-07-22,1380.282,SIDEWAYS
2002-07-23,1375.613,SIDEWAYS
2002-07-24,1372.892,SIDEWAYS
2002-07-25,1364.996,SIDEWAYS
2002-07-26,1361.409,SIDEWAYS
2002-07-29,1368.797,SIDEWAYS
2002-07-30,1371.909,SIDEWAYS
2002-07-31,1358.16,SIDEWAYS
2002-08-01,1355.303,SIDEWAYS
2002-08-02,1359.993,SIDEWAYS
2002-08-05,1353.479,SIDEWAYS
2002-08-06,1368.994,SIDEWAYS
2002-08-07,1366.795,SIDEWAYS
2002-08-08,1359.677,SIDEWAYS
2002-08-09,1350.311,SIDEWAYS
2002-08-12,1340.216,SIDEWAYS
2002-08-13,1342.357,SIDEWAYS
2002-08-14,1351.507,SIDEWAYS
2002-08-15,1340.968,SIDEWAYS
2002-08-16,1349.622,SIDEWAYS
2002-08-19,1347.16,SIDEWAYS
2002-08-20,1370.046,SIDEWAYS
2002-08-21,1370.957,SIDEWAYS
2002-08-22,1381.549,BULL
2002-08-23,1379.419,BULL
2002-08-26,1366.181,SIDEWAYS
2002-08-27,1369.76,SIDEWAYS
2002-08-28,1368.397,BULL
2002-08-29,1362.67,BULL
2002-08-30,1361.298,BULL
2002-09-02,1362.152,BULL
2002-09-03,1366.71,SIDEWAYS
2002-09-04,1358.78,SIDEWAYS
2002-09-05,1341.468,SIDEWAYS
2002-09-06,1334.343,SIDEWAYS
2002-09-09,1323.132,SIDEWAYS
2002-09-10,1324.21,SIDEWAYS
2002-09-11,1319.034,SIDEWAYS
2002-09-12,1322.232,SIDEWAYS
2002-09-13,1321.809,SIDEWAYS
2002-09-16,1302.617,SIDEWAYS
2002-09-17,1304.376,SIDEWAYS
2002-09-18,1295.561,SIDEWAYS
2002-09-19,1319.817,SIDEWAYS
2002-09-20,1305.747,SIDEWAYS
2002-09-23,1304.924,SIDEWAYS
2002-09-24,1299.185,SIDEWAYS
2002-09-25,1299.523,SIDEWAYS
2002-09-26,1291.378,SIDEWAYS
2002-09-27,1285.652,SIDEWAYS
2002-10-08,1272.939,SIDEWAYS
2002-10-09,1247.533,SIDEWAYS
2002-10-10,1241.552,SIDEWAYS
2002-10-11,1237.14,SIDEWAYS
2002-10-14,1243.744,SIDEWAYS
2002-10-15,1238.967,SIDEWAYS
2002-10-16,1247.72,SIDEWAYS
2002-10-17,1228.263,SIDEWAYS
2002-10-18,1233.668,SIDEWAYS
2002-10-21,1237.362,SIDEWAYS
2002-10-22,1254.739,SIDEWAYS
2002-10-23,1255.635,SIDEWAYS
2002-10-24,1244.559,BEAR
2002-10-25,1233.578,BEAR
2002-10-28,1219.425,BEAR
2002-10-29,1226.775,BEAR
2002-10-30,1225.94,BEAR
2002-10-31,1225.338,BEAR
2002-11-01,1227.849,BEAR
2002-11-04,1246.804,BEAR
2002-11-05,1265.73,BEAR
2002-11-06,1260.054,SIDEWAYS
2002-11-07,1259.87,SIDEWAYS
2002-11-08,1232.945,BEAR
2002-11-11,1218.356,BEAR
2002-11-12,1200.92,BEAR
2002-11-13,1206.419,BEAR
2002-11-14,1183.635,BEAR
2002-11-15,1186.923,BEAR
2002-11-18,1174.825,BEAR
2002-11-19,1182.636,BEAR
2002-11-20,1154.898,BEAR
2002-11-21,1125.38,BEAR
2002-11-22,1128.072,BEAR
2002-11-25,1133.17,BEAR
2002-11-26,1111.053,BEAR
2002-11-27,1118.964,BEAR
2002-11-28,1150.585,BEAR
2002-11-29,1164.618,BEAR
2002-12-02,1132.929,BEAR
2002-12-03,1144.629,BEAR
2002-12-04,1147.535,BEAR
2002-12-05,1139.751,BEAR
2002-12-06,1139.803,BEAR
2002-12-09,1136.246,BEAR
2002-12-10,1122.907,BEAR
2002-12-11,1117.437,BEAR
2002-12-12,1122.229,BEAR
2002-12-13,1132.079,BEAR
2002-12-16,1141.523,BEAR
2002-12-17,1148.599,BEAR
2002-12-18,1143.941,BEAR
2002-12-19,1145.069,SIDEWAYS
2002-12-20,1157.337,SIDEWAYS
2002-12-23,1159.43,SIDEWAYS
2002-12-24,1159.06,SIDEWAYS
2002-12-25,1151.16,SIDEWAYS
2002-12-26,1119.359,BEAR
2002-12-27,1120.276,BEAR
2002-12-30,1108.94,BEAR
2002-12-31,1103.641,BEAR
2003-01-02,1074.984,BEAR
2003-01-03,1073.524,BEAR
2003-01-06,1084.884,BEAR
2003-01-07,1081.622,BEAR
2003-01-08,1111.832,BEAR
2003-01-09,1132.17,SIDEWAYS
2003-01-10,1121.576,BEAR
2003-01-13,1124.33,BEAR
2003-01-14,1185.865,SIDEWAYS
2003-01-15,1177.971,SIDEWAYS
2003-01-16,1196.386,SIDEWAYS
2003-01-17,1190.895,SIDEWAYS
2003-01-20,1194.722,SIDEWAYS
2003-01-21,1172.131,SIDEWAYS
2003-01-22,1174.567,SIDEWAYS
2003-01-23,1167.635,SIDEWAYS
2003-01-24,1187.694,SIDEWAYS
2003-01-27,1203.319,SIDEWAYS
2003-01-28,1206.859,SIDEWAYS
2003-01-29,1207.597,SIDEWAYS
2003-02-10,1190.459,SIDEWAYS
2003-02-11,1201.294,SIDEWAYS
2003-02-12,1214.804,SIDEWAYS
2003-02-13,1208.841,SIDEWAYS
2003-02-14,1213.699,SIDEWAYS
2003-02-17,1204.697,SIDEWAYS
2003-02-18,1204.936,SIDEWAYS
2003-02-19,1216.578,SIDEWAYS
2003-02-20,1215.151,SIDEWAYS
2003-02-21,1191.628,SIDEWAYS
2003-02-24,1192.994,BEAR
2003-02-25,1214.853,SIDEWAYS
2003-02-26,1214.396,SIDEWAYS
2003-02-27,1215.457,SIDEWAYS
2003-02-28,1213.862,SIDEWAYS
2003-03-03,1223.408,SIDEWAYS
2003-03-04,1222.38,SIDEWAYS
2003-03-05,1217.888,SIDEWAYS
2003-03-06,1202.44,BEAR
2003-03-07,1198.744,BEAR
2003-03-10,1178.153,BEAR
2003-03-11,1177.802,BEAR
2003-03-12,1182.417,BEAR
2003-03-13,1175.157,BEAR
2003-03-14,1177.61,BEAR
2003-03-17,1179.234,BEAR
2003-03-18,1173.789,BEAR
2003-03-19,1180.228,BEAR
2003-03-20,1175.861,BEAR
2003-03-21,1185.422,BEAR
2003-03-24,1187.641,BEAR
2003-03-25,1176.095,BEAR
2003-03-26,1171.199,BEAR
2003-03-27,1201.371,BEAR
2003-03-28,1199.264,BEAR
2003-03-31,1215.168,BEAR
2003-04-01,1223.559,SIDEWAYS
2003-04-02,1222.971,SIDEWAYS
2003-04-03,1215.34,SIDEWAYS
2003-04-04,1223.558,BULL
2003-04-07,1217.924,BULL
2003-04-08,1221.567,BULL
2003-04-09,1243.057,BULL
2003-04-10,1255.237,BULL
2003-04-11,1274.998,BULL
2003-04-14,1306.513,BULL
2003-04-15,1317.288,BULL
2003-04-16,1304.1,BULL
2003-04-17,1307.715,BULL
2003-04-18,1300.411,BULL
2003-04-21,1274.61,BULL
2003-04-22,1274.685,BULL
2003-04-23,1254.131,BULL
2003-04-24,1218.685,BULL
2003-04-25,1205.381,BULL
2003-04-28,1250.681,BULL
2003-04-29,1231.565,BULL
2003-04-30,1239.952,BULL
2003-05-12,1251.309,BULL
2003-05-13,1216.426,SIDEWAYS
2003-05-14,1243.103,BULL
2003-05-15,1273.37,BULL
2003-05-16,1274.258,BULL
2003-05-19,1275.861,BULL
2003-05-20,1261.327,SIDEWAYS
2003-05-21,1259.015,SIDEWAYS
2003-05-22,1270.432,SIDEWAYS
2003-05-23,1283.668,SIDEWAYS
2003-05-26,1292.69,SIDEWAYS
2003-05-27,1293.681,SIDEWAYS
2003-05-28,1277.692,BULL
2003-05-29,1294.772,BULL
2003-05-30,1300.865,BULL
2003-06-02,1300.486,BULL
2003-06-03,1285.652,BULL
2003-06-04,1296.444,BULL
2003-06-05,1279.539,BULL
2003-06-06,1262.064,BULL
2003-06-09,1249.165,SIDEWAYS
2003-06-10,1255.928,BULL
2003-06-11,1278.265,BULL
2003-06-12,1273.513,BULL
2003-06-13,1277.323,BULL
2003-06-16,1273.558,SIDEWAYS
2003-06-17,1268.924,BULL
2003-06-18,1266.721,BULL
2003-06-19,1253.681,SIDEWAYS
2003-06-20,1244.656,SIDEWAYS
2003-06-23,1231.938,SIDEWAYS
2003-06-24,1235.123,SIDEWAYS
2003-06-25,1226.643,SIDEWAYS
2003-06-26,1238.48,SIDEWAYS
2003-06-27,1220.736,SIDEWAYS
2003-06-30,1214.547,SIDEWAYS
2003-07-01,1215.199,SIDEWAYS
2003-07-02,1227.952,SIDEWAYS
2003-07-03,1231.166,SIDEWAYS
2003-07-04,1229.975,SIDEWAYS
2003-07-07,1232.076,SIDEWAYS
2003-07-08,1239.848,SIDEWAYS
2003-07-09,1231.798,SIDEWAYS
2003-07-10,1257.815,SIDEWAYS
2003-07-11,1255.934,SIDEWAYS
2003-07-14,1251.089,SIDEWAYS
2003-07-15,1254.364,SIDEWAYS
2003-07-16,1259.896,SIDEWAYS
2003-07-17,1269.398,BULL
2003-07-18,1241.574,SIDEWAYS
2003-07-21,1232.145,BULL
2003-07-22,1235.299,BULL
2003-07-23,1239.445,BULL
2003-07-24,1231.023,SIDEWAYS
2003-07-25,1218.666,SIDEWAYS
2003-07-28,1213.148,SIDEWAYS
2003-07-29,1219.762,BULL
2003-07-30,1221.757,SIDEWAYS
2003-07-31,1222.737,SIDEWAYS
2003-08-01,1226.239,SIDEWAYS
2003-08-04,1240.07,BULL
2003-08-05,1239.046,SIDEWAYS
2003-08-06,1232.936,BULL
2003-08-07,1232.974,SIDEWAYS
2003-08-08,1218.112,SIDEWAYS
2003-08-11,1222.201,SIDEWAYS
2003-08-12,1225.855,SIDEWAYS
2003-08-13,1210.561,SIDEWAYS
2003-08-14,1203.244,SIDEWAYS
2003-08-15,1201.323,SIDEWAYS
2003-08-18,1197.986,SIDEWAYS
2003-08-19,1201.664,SIDEWAYS
2003-08-20,1195.681,SIDEWAYS
2003-08-21,1194.629,SIDEWAYS
2003-08-22,1191.432,SIDEWAYS
2003-08-25,1177.297,SIDEWAYS
2003-08-26,1179.329,BEAR
2003-08-27,1178.401,BEAR
2003-08-28,1169.38,BEAR
2003-08-29,1178.574,BEAR
2003-09-01,1199.814,BEAR
2003-09-02,1197.298,BEAR
2003-09-03,1198.441,BEAR
2003-09-04,1196.501,BEAR
2003-09-05,1183.913,BEAR
2003-09-08,1177.829,BEAR
2003-09-09,1172.051,BEAR
2003-09-10,1176.036,BEAR
2003-09-11,1176.927,BEAR
2003-09-12,1164.18,BEAR
2003-09-15,1152.357,BEAR
2003-09-16,1159.716,BEAR
2003-09-17,1147.304,BEAR
2003-09-18,1148.082,BEAR
2003-09-19,1149.287,BEAR
2003-09-22,1141.139,BEAR
2003-09-23,1147.289,BEAR
2003-09-24,1150.492,BEAR
2003-09-25,1136.692,BEAR
2003-09-26,1131.295,BEAR
2003-09-29,1116.547,CRASH
2003-09-30,1127.144,BEAR
2003-10-08,1131.27,BEAR
2003-10-09,1128.767,BEAR
2003-10-10,1155.42,BEAR
2003-10-13,1151.778,BEAR
2003-10-14,1142.3,BEAR
2003-10-15,1139.015,BEAR
2003-10-16,1124.371,BEAR
2003-10-17,1128.099,BEAR
2003-10-20,1120.359,BEAR
2003-10-21,1124.543,BEAR
2003-10-22,1152.83,SIDEWAYS
2003-10-23,1143.713,BEAR
2003-10-24,1140.034,BEAR
2003-10-27,1130.456,BEAR
2003-10-28,1130.705,BEAR
2003-10-29,1123.223,BEAR
2003-10-30,1110.799,BEAR
2003-10-31,1111.617,BEAR
2003-11-03,1123.48,SIDEWAYS
2003-11-04,1145.168,SIDEWAYS
2003-11-05,1138.913,SIDEWAYS
2003-11-06,1118.919,BEAR
2003-11-07,1103.777,BEAR
2003-11-10,1108.027,BEAR
2003-11-11,1108.89,BEAR
2003-11-12,1089.306,BEAR
2003-11-13,1091.708,BEAR
2003-11-14,1100.016,BEAR
2003-11-17,1095.945,BEAR
2003-11-18,1080.997,BEAR
2003-11-19,1098.051,BEAR
2003-11-20,1129.132,BEAR
2003-11-21,1115.469,BEAR
2003-11-24,1147.589,SIDEWAYS
2003-11-25,1151.543,SIDEWAYS
2003-11-26,1155.265,SIDEWAYS
2003-11-27,1136.018,SIDEWAYS
2003-11-28,1142.975,SIDEWAYS
2003-12-01,1168.507,SIDEWAYS
2003-12-02,1168.402,SIDEWAYS
2003-12-03,1172.469,SIDEWAYS
2003-12-04,1178.653,SIDEWAYS
2003-12-05,1176.661,SIDEWAYS
2003-12-08,1164.427,SIDEWAYS
2003-12-09,1169.277,SIDEWAYS
2003-12-10,1184.676,SIDEWAYS
2003-12-11,1184.634,SIDEWAYS
2003-12-12,1183.107,SIDEWAYS
2003-12-15,1184.674,SIDEWAYS
2003-12-16,1178.35,SIDEWAYS
2003-12-17,1169.412,SIDEWAYS
2003-12-18,1173.397,SIDEWAYS
2003-12-19,1163.64,SIDEWAYS
2003-12-22,1195.437,SIDEWAYS
2003-12-23,1201.081,SIDEWAYS
2003-12-24,1212.333,SIDEWAYS
2003-12-25,1209.06,SIDEWAYS
2003-12-26,1208.523,SIDEWAYS
2003-12-29,1199.254,SIDEWAYS
2003-12-30,1207.098,SIDEWAYS
2003-12-31,1194.744,SIDEWAYS
2004-01-02,1204.613,SIDEWAYS
2004-01-05,1240.467,SIDEWAYS
2004-01-06,1251.135,SIDEWAYS
2004-01-07,1266.268,SIDEWAYS
2004-01-08,1284.338,SIDEWAYS
2004-01-09,1266.406,SIDEWAYS
2004-01-12,1294.684,SIDEWAYS
2004-01-13,1293.184,SIDEWAYS
2004-01-14,1277.961,SIDEWAYS
2004-01-15,1273.616,SIDEWAYS
2004-01-16,1284.296,SIDEWAYS
2004-01-29,1311.947,SIDEWAYS
2004-01-30,1281.334,BULL
2004-02-02,1307.267,BULL
2004-02-03,1320.996,BULL
2004-02-04,1348.864,BULL
2004-02-05,1353.851,BULL
2004-02-06,1347.221,BULL
2004-02-09,1368.841,BULL
2004-02-10,1363.062,BULL
2004-02-11,1354.749,BULL
2004-02-12,1345.658,BULL
2004-02-13,1342.335,BULL
2004-02-16,1373.3,BULL
2004-02-17,1380.365,BULL
2004-02-18,1391.355,BULL
2004-02-19,1385.978,BULL
2004-02-20,1391.095,BULL
2004-02-23,1359.239,BULL
2004-02-24,1356.314,BULL
2004-02-25,1329.442,BULL
2004-02-26,1335.863,BULL
2004-02-27,1351.61,BULL
2004-03-01,1366.914,BULL
2004-03-02,1363.194,BULL
2004-03-03,1341.215,SIDEWAYS
2004-03-04,1349.848,SIDEWAYS
2004-03-05,1341.758,SIDEWAYS
2004-03-08,1317.296,SIDEWAYS
2004-03-09,1314.167,SIDEWAYS
2004-03-10,1344.989,SIDEWAYS
2004-03-11,1357.843,BULL
2004-03-12,1358.514,BULL
2004-03-15,1389.676,BULL
2004-03-16,1395.365,BULL
2004-03-17,1398.017,BULL
2004-03-18,1372.163,SIDEWAYS
2004-03-19,1393.571,BULL
2004-03-22,1399.55,BULL
2004-03-23,1389.52,BULL
2004-03-24,1385.374,BULL
2004-03-25,1385.862,BULL
2004-03-26,1386.477,BULL
2004-03-29,1371.7,BULL
2004-03-30,1372.049,BULL
2004-03-31,1384.954,BULL
2004-04-01,1396.632,BULL
2004-04-02,1405.918,BULL
2004-04-05,1401.97,BULL
2004-04-06,1410.428,BULL
2004-04-07,1408.774,BULL
2004-04-08,1402.771,BULL
2004-04-09,1370.276,BULL
2004-04-12,1364.681,SIDEWAYS
2004-04-13,1353.83,SIDEWAYS
2004-04-14,1332.075,SIDEWAYS
2004-04-15,1318.852,SIDEWAYS
2004-04-16,1331.082,SIDEWAYS
2004-04-19,1312.002,SIDEWAYS
2004-04-20,1301.086,SIDEWAYS
2004-04-21,1289.654,SIDEWAYS
2004-04-22,1296.435,SIDEWAYS
2004-04-23,1276.307,SIDEWAYS
2004-04-26,1276.949,SIDEWAYS
2004-04-27,1264.344,SIDEWAYS
2004-04-28,1258.112,CRASH
2004-04-29,1233.6,CRASH
2004-04-30,1239.72,CRASH
2004-05-10,1206.586,CRASH
2004-05-11,1212.575,CRASH
2004-05-12,1240.016,CRASH
2004-05-13,1234.578,CRASH
2004-05-14,1207.261,CRASH
2004-05-17,1195.189,CRASH
2004-05-18,1209.609,SIDEWAYS
2004-05-19,1209.579,SIDEWAYS
2004-05-20,1201.713,SIDEWAYS
2004-05-21,1209.213,SIDEWAYS
2004-05-24,1200.789,SIDEWAYS
2004-05-25,1177.712,SIDEWAYS
2004-05-26,1183.013,SIDEWAYS
2004-05-27,1208.682,SIDEWAYS
2004-05-28,1201.721,SIDEWAYS
2004-05-31,1206.841,SIDEWAYS
2004-06-01,1224.105,SIDEWAYS
2004-06-02,1211.932,SIDEWAYS
2004-06-03,1193.554,SIDEWAYS
2004-06-04,1192.776,SIDEWAYS
2004-06-07,1176.263,SIDEWAYS
2004-06-08,1160.331,SIDEWAYS
2004-06-09,1137.546,SIDEWAYS
2004-06-10,1139.51,SIDEWAYS
2004-06-11,1140.528,BEAR
2004-06-14,1115.406,BEAR
2004-06-15,1134.898,BEAR
2004-06-16,1141.093,BEAR
2004-06-17,1116.504,BEAR
2004-06-18,1103.403,BEAR
2004-06-21,1109.391,BEAR
2004-06-22,1119.882,BEAR
2004-06-23,1110.319,BEAR
2004-06-24,1099.903,BEAR
2004-06-25,1081.958,BEAR
2004-06-28,1069.506,CRASH
2004-06-29,1084.617,CRASH
2004-06-30,1078.485,BEAR
2004-07-01,1112.389,BEAR
2004-07-02,1114.945,BEAR
2004-07-05,1116.416,BEAR
2004-07-06,1121.284,BEAR
2004-07-07,1110.624,BEAR
2004-07-08,1113.027,BEAR
2004-07-09,1106.915,BEAR
2004-07-12,1083.178,BEAR
2004-07-13,1086.815,BEAR
2004-07-14,1088.779,BEAR
2004-07-15,1104.007,BEAR
2004-07-16,1132.799,SIDEWAYS
2004-07-19,1134.501,SIDEWAYS
2004-07-20,1125.876,SIDEWAYS
2004-07-21,1125.662,SIDEWAYS
2004-07-22,1097.859,BEAR
2004-07-23,1101.599,SIDEWAYS
2004-07-26,1087.268,SIDEWAYS
2004-07-27,1083.398,BEAR
2004-07-28,1089.52,SIDEWAYS
2004-07-29,1104.167,BEAR
2004-07-30,1088.677,BEAR
2004-08-02,1080.55,BEAR
2004-08-03,1073.583,BEAR
2004-08-04,1103.551,BEAR
2004-08-05,1088.814,BEAR
2004-08-06,1088.241,BEAR
2004-08-09,1093.479,SIDEWAYS
2004-08-10,1098.586,SIDEWAYS
2004-08-11,1086.077,BEAR
2004-08-12,1074.817,BEAR
2004-08-13,1077.245,BEAR
2004-08-16,1067.596,BEAR
2004-08-17,1072.51,BEAR
2004-08-18,1071.827,BEAR
2004-08-19,1059.198,BEAR
2004-08-20,1060.229,BEAR
2004-08-23,1047.212,BEAR
2004-08-24,1059.42,BEAR
2004-08-25,1055.526,BEAR
2004-08-26,1050.995,BEAR
2004-08-27,1039.238,BEAR
2004-08-30,1038.344,BEAR
2004-08-31,1055.97,BEAR
2004-09-01,1040.055,BEAR
2004-09-02,1045.369,BEAR
2004-09-03,1043.537,BEAR
2004-09-06,1039.668,BEAR
2004-09-07,1041.485,BEAR
2004-09-08,1031.606,BEAR
2004-09-09,1012.556,BEAR
2004-09-10,1015.151,BEAR
2004-09-13,993.263,BEAR
2004-09-14,1023.406,BEAR
2004-09-15,1066.282,BEAR
2004-09-16,1077.915,SIDEWAYS
2004-09-17,1112.767,SIDEWAYS
2004-09-20,1152.126,SIDEWAYS
2004-09-21,1143.458,SIDEWAYS
2004-09-22,1120.108,SIDEWAYS
2004-09-23,1157.928,SIDEWAYS
2004-09-24,1135.973,SIDEWAYS
2004-09-27,1128.048,SIDEWAYS
2004-09-28,1136.339,SIDEWAYS
2004-09-29,1124.008,SIDEWAYS
2004-09-30,1109.324,SIDEWAYS
2004-10-08,1131.915,SIDEWAYS
2004-10-11,1126.332,SIDEWAYS
2004-10-12,1103.547,SIDEWAYS
2004-10-13,1104.178,SIDEWAYS
2004-10-14,1060.127,SIDEWAYS
2004-10-15,1061.642,SIDEWAYS
2004-10-18,1063.472,SIDEWAYS
2004-10-19,1066.636,SIDEWAYS
2004-10-20,1062.902,BEAR
2004-10-21,1049.968,BEAR
2004-10-22,1063.143,BEAR
2004-10-25,1049.19,BEAR
2004-10-26,1059.254,BEAR
2004-10-27,1069.685,BEAR
2004-10-28,1068.678,BEAR
2004-10-29,1050.299,BEAR
2004-11-01,1038.428,BEAR
2004-11-02,1035.733,BEAR
2004-11-03,1054.693,BEAR
2004-11-04,1032.723,BEAR
2004-11-05,1033.804,BEAR
2004-11-08,1034.805,BEAR
2004-11-09,1037.21,BEAR
2004-11-10,1076.281,BEAR
2004-11-11,1070.271,SIDEWAYS
2004-11-12,1072.619,SIDEWAYS
2004-11-15,1084.706,SIDEWAYS
2004-11-16,1084.652,SIDEWAYS
2004-11-17,1074.394,SIDEWAYS
2004-11-18,1085.034,SIDEWAYS
2004-11-19,1091.371,SIDEWAYS
2004-11-22,1094.351,SIDEWAYS
2004-11-23,1084.879,SIDEWAYS
2004-11-24,1077.671,SIDEWAYS
2004-11-25,1076.343,SIDEWAYS
2004-11-26,1074.986,SIDEWAYS
2004-11-29,1061.352,SIDEWAYS
2004-11-30,1062.814,SIDEWAYS
2004-12-01,1058.15,SIDEWAYS
2004-12-02,1056.061,SIDEWAYS
2004-12-03,1058.334,SIDEWAYS
2004-12-06,1060.254,SIDEWAYS
2004-12-07,1048.181,SIDEWAYS
2004-12-08,1049.176,BEAR
2004-12-09,1059.531,BEAR
2004-12-10,1043.554,BEAR
2004-12-13,1037.452,BEAR
2004-12-14,1034.293,BEAR
2004-12-15,1037.883,BEAR
2004-12-16,1033.272,BEAR
2004-12-17,1022.996,CRASH
2004-12-20,1009.373,CRASH
2004-12-21,1008.119,CRASH
2004-12-22,1034.033,BEAR
2004-12-23,1015.51,BEAR
2004-12-24,1016.398,BEAR
2004-12-27,1012.445,BEAR
2004-12-28,1010.697,BEAR
2004-12-29,1005.527,BEAR
2004-12-30,1003.989,BEAR
2004-12-31,1000.0,BEAR
2005-01-04,982.794,BEAR
2005-01-05,992.564,BEAR
2005-01-06,983.174,BEAR
2005-01-07,983.958,BEAR
2005-01-10,993.879,BEAR
2005-01-11,997.135,BEAR
2005-01-12,996.748,BEAR
2005-01-13,996.877,BEAR
2005-01-14,988.306,BEAR
2005-01-17,967.452,BEAR
2005-01-18,974.689,BEAR
2005-01-19,967.21,BEAR
2005-01-20,956.245,CRASH
2005-01-21,982.604,BEAR
2005-01-24,998.133,BEAR
2005-01-25,997.775,BEAR
2005-01-26,989.928,BEAR
